file_path,line_number,old_path,new_path
architecture/lib/control/materialization-tail-stage-map.ts,52,architecture/04-materialization/04-implementation-targets,architecture/04-materialization/implementation-targets
architecture/lib/control/materialization-tail-stage-map.ts,54,architecture/04-materialization/04-implementation-targets,architecture/04-materialization/implementation-targets
architecture/lib/control/materialization-tail-stage-map.ts,65,architecture/04-materialization/05-implementation-results,architecture/04-materialization/implementation-results
architecture/lib/control/materialization-tail-stage-map.ts,67,architecture/04-materialization/05-implementation-results,architecture/04-materialization/implementation-results
architecture/lib/control/materialization-tail-stage-map.ts,78,architecture/04-materialization/06-retained,architecture/04-materialization/retained
architecture/lib/control/materialization-tail-stage-map.ts,80,architecture/04-materialization/06-retained,architecture/04-materialization/retained
architecture/lib/control/materialization-tail-stage-map.ts,91,architecture/04-materialization/07-integration-records,architecture/04-materialization/integration-records
architecture/lib/control/materialization-tail-stage-map.ts,93,architecture/04-materialization/07-integration-records,architecture/04-materialization/integration-records
architecture/lib/control/materialization-tail-stage-map.ts,104,architecture/04-materialization/08-consumption-records,architecture/04-materialization/consumption-records
architecture/lib/control/materialization-tail-stage-map.ts,106,architecture/04-materialization/08-consumption-records,architecture/04-materialization/consumption-records
architecture/lib/control/materialization-tail-stage-map.ts,117,architecture/04-materialization/09-post-consumption-evaluations,architecture/04-materialization/post-consumption-evaluations
architecture/lib/control/materialization-tail-stage-map.ts,119,architecture/04-materialization/09-post-consumption-evaluations,architecture/04-materialization/post-consumption-evaluations
hosts/standalone-host/bootstrap.ts,419,architecture/04-materialization/09-post-consumption-evaluations,architecture/04-materialization/post-consumption-evaluations
scripts/audit-nested-paths.ts,10,architecture/04-materialization/04-implementation-targets,architecture/04-materialization/implementation-targets
scripts/audit-nested-paths.ts,11,architecture/04-materialization/05-implementation-results,architecture/04-materialization/implementation-results
scripts/audit-nested-paths.ts,12,architecture/04-materialization/06-retained,architecture/04-materialization/retained
scripts/audit-nested-paths.ts,13,architecture/04-materialization/07-integration-records,architecture/04-materialization/integration-records
scripts/audit-nested-paths.ts,14,architecture/04-materialization/08-consumption-records,architecture/04-materialization/consumption-records
scripts/audit-nested-paths.ts,15,architecture/04-materialization/09-post-consumption-evaluations,architecture/04-materialization/post-consumption-evaluations
